ООО "ТАДЦ "РИТМ";357100, Ставропольский край, город Невинномысск, улица Монтажная, дом 14
ООО "Курганский центр аттестации";640023, город Курган, улица Загородная, дом 7
ООО "Аттестационный центр по сварочному производству;Брянск
ООО "ГАЦ-ССР";660004, Красноярский край, город Красноярск, проспект им. газеты Красноярский рабочий, дом 27, строение 90
ООО "Тверской аттестационный центр";170000, город Тверь, Смоленский переулок, дом 1, корпус 1
ООО "КЦСК";650055, город Кемерово, проспект Ленина, дом 33, корпус 2
ООО "Аттестационный центр Калужской области";248002, город Калуга, Больничный 1-ый переулок, дом 17, помещение 7
АО "НАКС - Коми";167026, Республика Коми, город Сыктывкар, Ухтинское шоссе, дом 52/24
АО "Гипрониигаз";410012, город Саратов, проспект им. Кирова С.М., дом 54
ООО АЦ "ОСТРОВНОЙ";693008, Сахалинская область, город Южно-Сахалинск, улица Ленина, дом 254
ООО "АЦ "НАКС-Ямал";629307, Ямало-Ненецкий автономный округ, город Новый Уренгой, улица Крайняя, дом 26/1
ЗАО ИПФ "Динамика";626150, Тюменская область, город Тобольск, микрорайон 7А, дом 21А,  помещение 3
ООО "ССДЦ "Дельта";445009, Самарская область, город Тольятти, улица Победы, дом 22
ООО "Аттестационный Центр";663300, Красноярский край, город Норильск, площадь Металлургов, дом 21
ООО "Спектр ЛТД";185035, Республика Карелия, город Петрозаводск, улица Куйбышева, дом 19
ООО "НАКС-Система";453104, Республика Башкортостан, город Стерлитамак, улица Железнодорожная, дом 9
ООО "АЦ СТС";450001, Республика Башкортостан, город Уфа, улица Пархоменко, дом 155, корпус 1
ООО АЦ "НАКС Самотлор";628600, Ханты-Мансийский Автономный Округ-Югра, город Нижневартовск, улица Индустриальная, дом 89, панель 4
ООО "СВАЦ НАКС";685000, город Магадан, улица Кольцевая, дом 15
ООО "ЦТФ-Сибирь";630005, город Новосибирск, улица Некрасова, дом 48
ООО АЦ "НЭКС";628406, Автономный округ Ханты-Мансийский Автономный округ-Югра, город Сургут, Шоссе Нефтеюганское, дом 62/2, сооружение 1
ООО "МАЦ "Импульс";184511, Мурманская область, город Мончегорск, улица Комсомольская, дом 3
ООО "НАКС-Самара";443068, город Самара, улица Ново-Садовая, дом 106, корпус 155, комната 11
ООО "ИТЦ "Сварка и Контроль";400040, город Волгоград, улица им. Поддубного, дом 15Б
ООО "НИИМонтаж";350020, город Краснодар, улица Красная, дом 155/1
ООО "Якутский центр сварки";677000, Республика Саха (Якутия), город Якутск, улица Лермонтова, дом 27, корпус 1
ООО "Межрегиональный ЦОК НАКС";109469, город Москва, улица Марьинский парк, дом 23, корпус 3
ООО "НАКС-Смоленск";214030, город Смоленск, Краснинское шоссе, дом 21
ООО "НАКС К";236011, город Калининград, улица Двинская, дом 91
ООО "НАКС-Ижевск";426039, Удмуртская Республика, город Ижевск, улица Новосмирновская, дом 40/3
ЗАО "Рязанский центр аттестации сварки";390035, Рязанская область, город Рязань, улица Чернышевского, дом 20
ООО "Корпорация "Энергокомплекс";620000, Свердловская область, город Екатеринбург, улица Чкалова, дом 124
ООО "Центр СМТК";430001, Республика Мордовия, город Саранск, улица Пролетарская, дом 130Б
ООО "Уренгой-Сваркон";629307, Ямало-Ненецкий автономный округ, город Новый Уренгой, улица Крайняя, дом 26/1
ООО АЦ "НАКС-Западная Сибирь";628407, Ханты-Мансийский Автономный округ - Югра АО, город Сургут, улица Технологическая, дом 1
ООО "АЦ СВР";440028, город Пенза, улица Германа Титова, дом 3, корпус 2, офис 1
ООО "НТЦ "Сура";440026, город Пенза, улица Красная, дом 40
ООО "НАКС-Ярославль";150044, Ярославская область, город Ярославль, Ленинградский проспект, дом 29
