ООО "ИТЦ "Сварка и Контроль";ЮР-14АЦ
ООО "НАКС-Чебоксары";ПР-7АЦ
ООО "НАКС Великий Новгород";СЗР-11АЦ
ООО "НАКС-ЛенОбл";СЗР-13АЦ
ООО "НАКС Архангельск";СЗР-12АЦ
ООО Аттестационный центр "НАКС-Хабаровск";ТОР-5АЦ
ООО "ИНЖИНИРИНГОВЫЙ ЦЕНТР СВАРКА";СВР-11АЦ
ООО "ЛАЦ";ЦР-6АЦ
ООО "АЦ ПРОМЭКСПЕРТ";МР-21АЦ
ООО "Спектр ЛТД";СЗР-9АЦ
ООО "Курганский центр аттестации";СУР-16АЦ
ООО "НАКС-ПФО";СУР-23АЦ
ООО "ТАДЦ "РИТМ";ЮР-1АЦ
ООО "АЦСПЭ и Д";МР-22АЦ
ООО "Нижегородский Центр Сварки и Контроля";
ООО "НАКС-Самара";
ООО "ГАЦ-ССР";ССР-ГАЦ
ООО "НТФ "ЦАСП";
ООО "КЦСК";ССР-3ГАЦ
ООО "Аттестационный центр Калужской области";МР-18АЦ
АО "НАКС - Коми";СЗР-3АЦ
ЗАО "Рязанский центр аттестации сварки";МР-25АЦ
ООО "СВАЦ НАКС";ТОР-3АЦ
ООО "ЗАПАДНО-СИБИРСКИЙ ЦОК";СУР-24АЦ
ООО АЦ "НЭКС";
ООО АЦ "НАКС Самотлор";СУР-20АЦ
ООО "АЦ "НАКС-Ямал";СУР-18АЦ
ООО "ПАЦ";ЗУР-3АЦ
ООО "РСЗ МАЦ";СЗР-1ГАЦ
ООО "ЦТФ-Сибирь";ЗСР-4АЦ
ЗАО ИПФ "Динамика";СУР-10АЦ
ООО "ССДЦ "Дельта";СВР-10АЦ
ООО "АЦ СТС";
ООО "Аттестационный Центр";ССР-2АЦ
ООО "ГАЦ РБ";БР-1ГАЦ
ООО "НАКС-Система";БР-1АЦ
ООО "НАКС-Технология";
ООО "АСЦ Сварка СтройТЭК";МР-24АЦ
ООО "НАКС-АРКТИКА";СЗР-14АЦ
ООО "ЦСП Мосты";ЦР-5АЦ
ООО "Якутский центр сварки";ВСР-4АЦ
ООО "МАЦ "Импульс";СЗР-7АЦ
ООО "НАКС-Ижевск";ЗУР-6АЦ
ООО "МИСиК";ЮР-9АЦ
ООО "НИИМонтаж";ЮР-10АЦ
ООО "СКД";СВР-9АЦ
ООО "СТ";
ООО "НАКС-Смоленск";МР-29АЦ
ООО "НАКС К";СЗР-10АЦ
ООО "Тюменский центр аттестации";СУР-17АЦ
ООО "Корпорация "Энергокомплекс";
АО "НАКС-Омск";ЗСР-2АЦ
ООО "Центр СМТК";ВВР-8АЦ
ООО "Уренгой-Сваркон";
ООО "НАКС-Пенза";СВР-8АЦ
ООО АЦ "НАКС-Западная Сибирь";СУР-13АЦ
ООО "ГАЦ ВВР";ВВР-ГАЦ
ООО "НАКС-Ярославль";ВВР-9АЦ
ООО "Учебный";СУР-9АЦ
ООО "Профессионал-Плюс";СУР-8АЦ
ЗАО "ЗУАЦ";ЗУР-ГАЦ
АНО "ВРАЦ";СЗР-1АЦ
ООО "ГАЦ МР НАКС";МР-1ГАЦ
ООО "НАКС-Урал";СУР-1ГАЦ
ООО "Головной аттестационно - сертификационный центр Центрального региона";ЦР-1ГАЦ
ООО АСЦ "ИТС СвП";МР-26АЦ
ООО "НВЦ "Сварка";
ООО "Вятский аттестационный центр";ЗУР-5АЦ
ООО "Синтез";ЦР-3АЦ
ООО "НАКС-Белгород";ЦР-7АЦ
АНО ЦЭС "Техкранэнерго";ВВР-2ГАЦ
ООО АЦ "НАКС-Амур";ТОР-6АЦ
ООО "ГАЦ ВСР";ВСР-1ГАЦ
ООО "Аттестационный центр "Сварог";ВСР-3АЦ
ООО Аттестационный центр "Сварка";
ООО "НАКС-Тверь";МР-30АЦ
ООО "НПП СКУНЦ";
ООО "ГОССп ЮР";ЮР-1ГАЦ
ООО Научно-производственное предприятие "КОМПЛЕКС";ТОР-4АЦ
ООО "НАКС-А";ЮР-13АЦ
ООО "Южный региональный головной аттестационный центр №3 НАКС";ЮР-3ГАЦ
ООО "ГАЦ АР НАКС";АР-1ГАЦ
ООО "Тихоокеанский ГАЦ";ТОР-1ГАЦ
ООО "ГАЦ ЗСР НАКС";ЗСР-ГАЦ
ООО "НАКС Стандарт-Диагностика";СУР-22АЦ
ООО УАЦ "НАКС";ЗУР-4АЦ
ООО "ЦПС "Сварка и Контроль";СУР-12АЦ
ООО АЦ "ОСТРОВНОЙ";ТОР-1АЦ
ООО "СЗ АНТЦ Энергомонтаж";СЗР-6АЦ
АО "Гипрониигаз";СВР-3ГАЦ
ООО "Аттестационный Центр Городского Хозяйства";МР-23АЦ
ООО "НАКС-Казань";ПР-1ГАЦ
ООО "Аттестационный центр "Сварка";ЗСР-3АЦ
ООО "НАКС-ТАМБОВ";ЦР-8АЦ
